# NEUROPLAST-ANN - Test Exhaustif XOR Médical Simulé
# Dataset: Médical simulé (0 échantillons, 8 features)
# Architecture: Input(8)→256→128→Output(1)
# Total combinaisons: 567
# Essais par combinaison: 5
# Époques max: 50
# Features médicales: Age, Cholestérol, Tension, BMI, Exercice, Tabac, Antécédents, Stress
# Modèle de risque: Interactions complexes + bruit réaliste
# Toutes les métriques: Accuracy, Precision, Recall, F1-Score, AUC-ROC
#
Rang,Methode,Optimiseur,Activation,Combinaison_Complete,Avg_Accuracy_Pct,Avg_Precision_Pct,Avg_Recall_Pct,Avg_F1_Score_Pct,Avg_AUC_ROC_Pct,Best_Accuracy_Pct,Best_Precision_Pct,Best_Recall_Pct,Best_F1_Score_Pct,Best_AUC_ROC_Pct,Convergence_Count,Total_Trials,Taux_Convergence_Pct
148,adaptive,adamax,gelu,adaptive+adamax+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
149,adaptive,adamax,sigmoid,adaptive+adamax+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
150,adaptive,adamax,elu,adaptive+adamax+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
151,adaptive,adamax,mish,adaptive+adamax+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
152,adaptive,adamax,swish,adaptive+adamax+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
153,adaptive,adamax,prelu,adaptive+adamax+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
154,adaptive,nadam,neuroplast,adaptive+nadam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
155,adaptive,nadam,relu,adaptive+nadam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
156,adaptive,nadam,leaky_relu,adaptive+nadam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
157,adaptive,nadam,gelu,adaptive+nadam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
158,adaptive,nadam,sigmoid,adaptive+nadam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
159,adaptive,nadam,elu,adaptive+nadam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
160,adaptive,nadam,mish,adaptive+nadam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
161,adaptive,nadam,swish,adaptive+nadam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
162,adaptive,nadam,prelu,adaptive+nadam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
163,advanced,adamw,neuroplast,advanced+adamw+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
164,advanced,adamw,relu,advanced+adamw+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
165,advanced,adamw,leaky_relu,advanced+adamw+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
166,advanced,adamw,gelu,advanced+adamw+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
167,advanced,adamw,sigmoid,advanced+adamw+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
168,advanced,adamw,elu,advanced+adamw+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
169,advanced,adamw,mish,advanced+adamw+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
170,advanced,adamw,swish,advanced+adamw+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
171,advanced,adamw,prelu,advanced+adamw+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
172,advanced,adam,neuroplast,advanced+adam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
173,advanced,adam,relu,advanced+adam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
174,advanced,adam,leaky_relu,advanced+adam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
175,advanced,adam,gelu,advanced+adam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
176,advanced,adam,sigmoid,advanced+adam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
177,advanced,adam,elu,advanced+adam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
178,advanced,adam,mish,advanced+adam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
179,advanced,adam,swish,advanced+adam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
180,advanced,adam,prelu,advanced+adam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
181,advanced,sgd,neuroplast,advanced+sgd+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
182,advanced,sgd,relu,advanced+sgd+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
183,advanced,sgd,leaky_relu,advanced+sgd+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
184,advanced,sgd,gelu,advanced+sgd+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
185,advanced,sgd,sigmoid,advanced+sgd+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
186,advanced,sgd,elu,advanced+sgd+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
187,advanced,sgd,mish,advanced+sgd+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
188,advanced,sgd,swish,advanced+sgd+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
189,advanced,sgd,prelu,advanced+sgd+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
190,advanced,rmsprop,neuroplast,advanced+rmsprop+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
191,advanced,rmsprop,relu,advanced+rmsprop+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
192,advanced,rmsprop,leaky_relu,advanced+rmsprop+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
193,advanced,rmsprop,gelu,advanced+rmsprop+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
194,advanced,rmsprop,sigmoid,advanced+rmsprop+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
195,advanced,rmsprop,elu,advanced+rmsprop+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
196,advanced,rmsprop,mish,advanced+rmsprop+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
197,advanced,rmsprop,swish,advanced+rmsprop+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
198,advanced,rmsprop,prelu,advanced+rmsprop+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
199,advanced,lion,neuroplast,advanced+lion+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
200,advanced,lion,relu,advanced+lion+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
201,advanced,lion,leaky_relu,advanced+lion+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
202,advanced,lion,gelu,advanced+lion+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
203,advanced,lion,sigmoid,advanced+lion+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
204,advanced,lion,elu,advanced+lion+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
205,advanced,lion,mish,advanced+lion+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
206,advanced,lion,swish,advanced+lion+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
207,advanced,lion,prelu,advanced+lion+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
208,advanced,adabelief,neuroplast,advanced+adabelief+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
209,advanced,adabelief,relu,advanced+adabelief+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
210,advanced,adabelief,leaky_relu,advanced+adabelief+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
211,advanced,adabelief,gelu,advanced+adabelief+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
212,advanced,adabelief,sigmoid,advanced+adabelief+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
213,advanced,adabelief,elu,advanced+adabelief+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
214,advanced,adabelief,mish,advanced+adabelief+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
215,advanced,adabelief,swish,advanced+adabelief+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
216,advanced,adabelief,prelu,advanced+adabelief+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
217,advanced,radam,neuroplast,advanced+radam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
218,advanced,radam,relu,advanced+radam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
219,advanced,radam,leaky_relu,advanced+radam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
220,advanced,radam,gelu,advanced+radam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
221,advanced,radam,sigmoid,advanced+radam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
222,advanced,radam,elu,advanced+radam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
223,advanced,radam,mish,advanced+radam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
224,advanced,radam,swish,advanced+radam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
225,advanced,radam,prelu,advanced+radam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
226,advanced,adamax,neuroplast,advanced+adamax+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
227,advanced,adamax,relu,advanced+adamax+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
228,advanced,adamax,leaky_relu,advanced+adamax+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
229,advanced,adamax,gelu,advanced+adamax+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
230,advanced,adamax,sigmoid,advanced+adamax+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
231,advanced,adamax,elu,advanced+adamax+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
232,advanced,adamax,mish,advanced+adamax+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
233,advanced,adamax,swish,advanced+adamax+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
234,advanced,adamax,prelu,advanced+adamax+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
235,advanced,nadam,neuroplast,advanced+nadam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
236,advanced,nadam,relu,advanced+nadam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
237,advanced,nadam,leaky_relu,advanced+nadam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
238,advanced,nadam,gelu,advanced+nadam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
239,advanced,nadam,sigmoid,advanced+nadam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
240,advanced,nadam,elu,advanced+nadam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
241,advanced,nadam,mish,advanced+nadam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
242,advanced,nadam,swish,advanced+nadam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
243,advanced,nadam,prelu,advanced+nadam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
244,bayesian,adamw,neuroplast,bayesian+adamw+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
245,bayesian,adamw,relu,bayesian+adamw+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
246,bayesian,adamw,leaky_relu,bayesian+adamw+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
247,bayesian,adamw,gelu,bayesian+adamw+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
248,bayesian,adamw,sigmoid,bayesian+adamw+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
249,bayesian,adamw,elu,bayesian+adamw+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
250,bayesian,adamw,mish,bayesian+adamw+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
251,bayesian,adamw,swish,bayesian+adamw+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
252,bayesian,adamw,prelu,bayesian+adamw+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
253,bayesian,adam,neuroplast,bayesian+adam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
254,bayesian,adam,relu,bayesian+adam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
255,bayesian,adam,leaky_relu,bayesian+adam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
256,bayesian,adam,gelu,bayesian+adam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
257,bayesian,adam,sigmoid,bayesian+adam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
258,bayesian,adam,elu,bayesian+adam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
259,bayesian,adam,mish,bayesian+adam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
260,bayesian,adam,swish,bayesian+adam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
261,bayesian,adam,prelu,bayesian+adam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
262,bayesian,sgd,neuroplast,bayesian+sgd+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
263,bayesian,sgd,relu,bayesian+sgd+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
264,bayesian,sgd,leaky_relu,bayesian+sgd+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
265,bayesian,sgd,gelu,bayesian+sgd+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
266,bayesian,sgd,sigmoid,bayesian+sgd+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
267,bayesian,sgd,elu,bayesian+sgd+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
268,bayesian,sgd,mish,bayesian+sgd+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
269,bayesian,sgd,swish,bayesian+sgd+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
270,bayesian,sgd,prelu,bayesian+sgd+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
271,bayesian,rmsprop,neuroplast,bayesian+rmsprop+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
272,bayesian,rmsprop,relu,bayesian+rmsprop+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
273,bayesian,rmsprop,leaky_relu,bayesian+rmsprop+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
274,bayesian,rmsprop,gelu,bayesian+rmsprop+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
275,bayesian,rmsprop,sigmoid,bayesian+rmsprop+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
276,bayesian,rmsprop,elu,bayesian+rmsprop+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
277,bayesian,rmsprop,mish,bayesian+rmsprop+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
278,bayesian,rmsprop,swish,bayesian+rmsprop+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
279,bayesian,rmsprop,prelu,bayesian+rmsprop+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
280,bayesian,lion,neuroplast,bayesian+lion+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
281,bayesian,lion,relu,bayesian+lion+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
282,bayesian,lion,leaky_relu,bayesian+lion+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
283,bayesian,lion,gelu,bayesian+lion+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
284,bayesian,lion,sigmoid,bayesian+lion+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
285,bayesian,lion,elu,bayesian+lion+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
286,bayesian,lion,mish,bayesian+lion+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
287,bayesian,lion,swish,bayesian+lion+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
288,bayesian,lion,prelu,bayesian+lion+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
289,bayesian,adabelief,neuroplast,bayesian+adabelief+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
290,bayesian,adabelief,relu,bayesian+adabelief+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
291,bayesian,adabelief,leaky_relu,bayesian+adabelief+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
292,bayesian,adabelief,gelu,bayesian+adabelief+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
293,bayesian,adabelief,sigmoid,bayesian+adabelief+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
294,bayesian,adabelief,elu,bayesian+adabelief+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
295,bayesian,adabelief,mish,bayesian+adabelief+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
296,bayesian,adabelief,swish,bayesian+adabelief+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
297,bayesian,adabelief,prelu,bayesian+adabelief+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
298,bayesian,radam,neuroplast,bayesian+radam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
299,bayesian,radam,relu,bayesian+radam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
300,bayesian,radam,leaky_relu,bayesian+radam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
301,bayesian,radam,gelu,bayesian+radam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
302,bayesian,radam,sigmoid,bayesian+radam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
303,bayesian,radam,elu,bayesian+radam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
304,bayesian,radam,mish,bayesian+radam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
305,bayesian,radam,swish,bayesian+radam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
306,bayesian,radam,prelu,bayesian+radam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
307,bayesian,adamax,neuroplast,bayesian+adamax+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
308,bayesian,adamax,relu,bayesian+adamax+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
309,bayesian,adamax,leaky_relu,bayesian+adamax+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
310,bayesian,adamax,gelu,bayesian+adamax+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
311,bayesian,adamax,sigmoid,bayesian+adamax+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
312,bayesian,adamax,elu,bayesian+adamax+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
313,bayesian,adamax,mish,bayesian+adamax+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
314,bayesian,adamax,swish,bayesian+adamax+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
315,bayesian,adamax,prelu,bayesian+adamax+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
316,bayesian,nadam,neuroplast,bayesian+nadam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
317,bayesian,nadam,relu,bayesian+nadam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
318,bayesian,nadam,leaky_relu,bayesian+nadam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
319,bayesian,nadam,gelu,bayesian+nadam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
320,bayesian,nadam,sigmoid,bayesian+nadam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
321,bayesian,nadam,elu,bayesian+nadam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
322,bayesian,nadam,mish,bayesian+nadam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
323,bayesian,nadam,swish,bayesian+nadam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
324,bayesian,nadam,prelu,bayesian+nadam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
325,progressive,adamw,neuroplast,progressive+adamw+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
326,progressive,adamw,relu,progressive+adamw+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
